Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Малик,Аліна,Русланівна,Жіноча,20-12-1990,Реабілітолог,село Івано-Франківськ,"площа Першотравневий 3-й, буд. 41 кв. 695, Середина-Буда, 86031",061 084 71 42,ivanychukamaliia@example.com
Цимбал,Анастасія,Мирославівна,Жіноча,27-12-1963,Мистецтвознавець,хутір Болград,"набережна 8-ма Лінія Дачі Ковалевського, буд. 28, Селидове, 40332",060-25-29,levkolesyk@example.org
Гунько,Аніта,Борисівна,Жіноча,13-10-1993,Програміст,село Рубіжне,"шосе Чорноморського козацтва, буд. 6, Алушта, 21668",498 31 30,chernenkomyron@example.com
Дацюк,Світлана,Орестівна,Жіноча,09-06-1972,Бібліотекар,хутір Кам'янка (Черкаська область),"узвіз Андрійця Олега, буд. 963 кв. 154, Хотин, 80701",052 495-38-87,liudmylabaida@example.net
Чарниш,Василина,Альбертівна,Жіноча,22-08-1995,Літературознавець,місто Кадіївка,"вулиця Літній, буд. 025 кв. 312, Баштанка, 32160",+380 75 363 92 48,qsliusar@example.net
Чубай,Варвара,Петрівна,Жіноча,02-07-1978,Літературознавець,селище Борзна,"набережна Михайла Грушевського, буд. 3 кв. 71, Ямпіль, 06243",+380 86 476-94-09,voblaroman@example.net
Рудик,Амалія,Єфремівна,Жіноча,01-10-1986,Фармацевт,хутір Щастя ,"парк Іванова Ігоря, буд. 61 кв. 99, Червоносів, 07339",032 729-04-02,ieromenkooleksa@example.com
Василенко,Людмила,Іллівна,Жіноча,26-08-1960,Стиліст,місто Чугуїв,"проспект Парашутний, буд. 766 кв. 51, Судак , 06008",+380 67 028-18-99,kbabiichuk@example.net
Ковалюк,Алла,Леопольдівна,Жіноча,23-06-1997,Геофізик,село Кролевець,"узвіз Моторна, буд. 565 кв. 842, Сміла, 01820",094 344 88 46,panteleimon48@example.org
Титаренко,Еріка,Миронівна,Жіноча,02-02-1940,Громадський діяч,хутір Львів,"площа Перемоги, буд. 668, Подільськ, 58765",+380 97 328 34 14,wirvanets@example.com
Наливайко,Галина,Валентинівна,Жіноча,20-07-2000,Драматург,хутір Новогродівка,"шосе Спартаківська, буд. 659, Чернігів, 87252",+380 05 688 71 09,ciurchyshyn@example.net
Дрозд,Ада,Ростиславівна,Жіноча,15-08-1940,Гірничий інженер,хутір Кропивницький,"проспект Амурський 1-й, буд. 524, Червоносів, 66761",324-62-96,ihnatpavlenko@example.net
Запорожець,Єва,Сергіївна,Жіноча,16-08-1995,Кушнір,хутір Мелітополь,"площа Більшовицький, буд. 42 кв. 30, Євпаторія, 45768",483 41 85,anastasiia53@example.org
Непорожній,Лариса,Веніяминівна,Жіноча,07-04-1955,Хореограф,селище Карлівка,"площа Сінна, буд. 29 кв. 095, Коломия, 92014",368 86 03,gtkach@example.net
Кармалюк,Альбіна,Климентівна,Жіноча,04-06-1947,Бібліотекар,село Міусинськ,"шосе Москвіна, буд. 144 кв. 1, Косів, 52348",082 384-27-09,iiurchuk@example.net
Скоробогатько,Аліна,Михайлівна,Жіноча,14-06-2001,Круп'є,село Мирноград,"узвіз ім. К.Г. Паустовського, буд. 712, Заставна, 09409",+380 21 675-82-61,deriazhnyisvitlana@example.net
Іщак,Амалія,Петрівна,Жіноча,22-08-1952,Промисловець,місто Бунге ,"сквер Восьмого березня 1-й, буд. 24 кв. 314, Хоростків, 74244",088 278 90 16,romanbaida@example.net
Яценко,Ада,Русланівна,Жіноча,11-09-1971,Адвокат,селище Гірник ,"парк М’ясоєдовська, буд. 34 кв. 27, Слов'янськ, 48960",376 98 53,ievhenbezditko@example.net
Бабариченко,Наталія,Григоріївна,Жіноча,10-11-2006,Будник,хутір Теребовля,"провулок Косвена, буд. 098 кв. 61, Житомир, 49929",+380 26 094-70-37,rozaliiamalyk@example.org
Охріменко,Марта,Альбертівна,Жіноча,07-05-1966,Кіноактор,село Христинівка,"парк Яхненка Семена, буд. 6, Шумськ, 50621",062 035 55 87,panteleimondanchenko@example.net
Оніщук,Орина,Гордіївна,Жіноча,24-05-1980,Паралегал,селище Судова Вишня,"сквер 3-тя Суворовська, буд. 51, Гадяч, 78508",390-90-60,maksym74@example.net
Лубенець,Маруся,Вʼячеславівна,Жіноча,30-10-1947,Публіцист,місто Берестечко,"сквер Китобійний 1-й, буд. 02 кв. 806, Корсунь-Шевченківський, 06522",147-07-09,giarema@example.com
Сомко,Одарка,Ігнатівна,Жіноча,25-05-1941,Перекладач,місто Сколе,"шосе Дністровська, буд. 08, Ворожба, 18246",199 27 64,leopold78@example.net
Жайворон,Марія,Геннадіївна,Жіноча,26-08-1951,Євнух,селище Тетіїв,"сквер Марії Демченко, буд. 547 кв. 20, Горохів, 72857",012 660 88 70,albinaandriichuk@example.net
Фурс,Богуслава,Костянтинівна,Жіноча,08-08-1960,Перекладач,хутір Прип'ять ,"парк Першотравневий 1-й, буд. 784 кв. 0, Селидове, 61037",034 697-97-78,kamillashelest@example.com
Батуринець,Клавдія,Пантелеймонівна,Жіноча,04-12-1939,Архітектор,селище Золоте,"узвіз Таїрова, буд. 2 кв. 380, Лохвиця, 10770",008 152-07-65,parmen31@example.com
Павленко,Алла,Микитівна,Жіноча,16-05-2008,Кур'єр,хутір Щолкіне,"сквер Герцена, буд. 0 кв. 376, Миколаїв, 41649",206-11-10,galaganliza@example.net
Романчук,Марта,Арсенівна,Жіноча,19-08-1971,Електрослюсар,село Приморськ (Україна),"узвіз Дельфін, буд. 943, Борзна, 01487",+380 58 181 53 71,iaroslava89@example.com
Яремків,Марта,Костянтинівна,Жіноча,01-02-1959,Петрограф,місто Кремінна,"парк Грузовий, буд. 2, Бахчисарай, 57074",022-42-66,ybandurka@example.com
Тичина,Аліна,Андріївна,Жіноча,28-12-1944,Кур'єр,селище Хмільник,"узвіз Цегельнозаводська, буд. 9, Валки , 50523",+380 68 977 69 53,haidenkobohuslav@example.net
Шеремет,Єва,Мирославівна,Жіноча,08-06-1998,Кінолог,селище Середина-Буда,"вулиця Нафтовиків 3-й, буд. 078 кв. 86, Бунге , 32726",821 67 15,tkovpak@example.com
Чаленко,Віолетта,Андріївна,Жіноча,01-04-1998,Палеонтолог,село Сторожинець,"набережна Дельфін, буд. 013 кв. 1, Кременець, 14765",+380 84 233 18 44,artemromanchuk@example.net
Дуплій,Ада,Віталіївна,Жіноча,16-08-1981,Мовознавець,місто Новоукраїнка,"парк Польова, буд. 54, Старий Крим, 26657",+380 (06) 549-90-34,qriabovil@example.net
Опанасенко,Анжела,Алевтинівна,Жіноча,01-05-1953,Програміст,хутір Нове Давидково,"парк Дача Ковалевського, буд. 460 кв. 2, Красногорівка, 70608",096-69-89,nazar48@example.org
Абрамчук,Ганна,Андріївна,Жіноча,12-01-1984,Акушер,місто Переяслав,"проспект Ракетна, буд. 942 кв. 99, Козятин, 63855",+380 49 777-80-04,mykytamykhailychenko@example.org
Яремко,Оксенія,Мартинівна,Жіноча,30-10-1961,Менеджер,місто Болград,"парк Олександра Невського 1-й, буд. 05, Стебник, 98523",+380 29 821-72-14,panchukhalyna@example.com
Шевченко,Орися,Владиславівна,Жіноча,10-09-1958,Каскадер,хутір Сімферополь,"набережна 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 92, Старий Крим, 71144",+380 23 435-83-40,mykolai70@example.com
Царенко,Орина,Болеславівна,Жіноча,01-10-2004,Маркетолог,село Луцьк,"узвіз Яхненка Семена, буд. 951, Васильків, 38260",863 05 95,stepankalchenko@example.com
Єрченко,Галина,Лукʼянівна,Жіноча,17-07-1953,Журналіст,місто Корсунь-Шевченківський,"шосе Іванова Ігоря, буд. 597 кв. 71, Ірміно, 18384",+380 (32) 847-91-71,iartym@example.com
Забара,Сніжана,Володимирівна,Жіноча,24-08-2004,Біолог,місто Почаїв,"проспект Старосінна, буд. 3 кв. 876, Вовчанськ, 40746",+380 68 115-36-97,nosachenkomarko@example.org
Лукаш,Христина,Юхимівна,Жіноча,01-12-1955,Фермер,хутір Сокиряни,"парк Івана Микитенка, буд. 184, Городок, 57121",875-02-72,shvachkofedir@example.net
Опанасенко,Оксенія,Іванівна,Жіноча,14-06-2008,Гінеколог,село Овруч,"сквер Політкаторжан, буд. 4 кв. 839, Тисмениця, 28016",+380 (99) 317-52-59,ievhentymchenko@example.org
